t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
7.759997,0,0,0.3447793,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.779997,0,0,0.3544055,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.799997,0,0,0.3640317,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.819997,0,0,0.3736579,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.839997,0,0,0.3832841,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.859997,0,0,0.3929102,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.879997,0,0,0.4025364,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.899997,0,0,0.4121626,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.919997,0,0,0.4217888,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.939997,0,0,0.431415,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.959997,0,0,0.4410411,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.979997,0,0,0.4506673,0,0,0.4813092,0,0,0.0006673187,0.01341311,-0.9118947,0
7.999997,0,0,0.4602801,0,0,0.4806386,0,0,0.01028009,0.2066298,-0.9118947,0
8.019998,0,0,0.4696862,0,0,0.4703071,0,0,0.01968624,0.3956934,-0.9118947,0
8.039997,0,0,0.4786967,0,0,0.4505225,0,0,0.02869667,0.5768031,-0.9118947,0
8.059998,0,0,0.4871303,0,0,0.4216823,0,0,0.03713031,0.7463193,-0.9118947,0
8.079997,0,0,0.4948176,0,0,0.3843663,0,0,0.04481764,0.9008346,-0.9118947,0
8.099998,0,0,0.5016041,0,0,0.3393246,0,0,0.05160414,1.037243,-0.9118947,0
8.119997,0,0,0.5073534,0,0,0.2874625,0,0,0.05735336,1.152803,-0.9118947,0
8.139997,0,0,0.5119498,0,0,0.2298224,0,0,0.06194983,1.245192,-0.9118947,0
8.159997,0,0,0.5153011,0,0,0.1675628,0,0,0.06530111,1.312552,-0.9118947,0
8.179997,0,0,0.5173398,0,0,0.1019353,0,0,0.06733982,1.35353,-0.9118947,0
8.199997,0,0,0.518025,0,0,0.03425876,0,0,0.06802498,1.367302,-0.9118947,0
8.219997,0,0,0.5173429,0,0,-0.03410631,0,0,0.06734286,1.353592,-0.9118947,0
8.239997,0,0,0.5153071,0,0,-0.1017859,0,0,0.06530713,1.312673,-0.9118947,0
8.259997,0,0,0.5119587,0,0,-0.1674195,0,0,0.06195872,1.24537,-0.9118947,0
8.279997,0,0,0.507365,0,0,-0.229688,0,0,0.05736499,1.153036,-0.9118947,0
8.299997,0,0,0.5016182,0,0,-0.2873397,0,0,0.0516182,1.037526,-0.9118947,0
8.319997,0,0,0.4948339,0,0,-0.339216,0,0,0.04483388,0.9011611,-0.9118947,0
8.339997,0,0,0.4871484,0,0,-0.3842741,0,0,0.0371484,0.7466829,-0.9118947,0
8.359997,0,0,0.4787163,0,0,-0.4216082,0,0,0.02871625,0.5771967,-0.9118947,0
8.379997,0,0,0.4697069,0,0,-0.450468,0,0,0.01970689,0.3961085,-0.9118947,0
8.399997,0,0,0.4603014,0,0,-0.4702735,0,0,0.01030143,0.2070587,-0.9118947,0
8.419997,0,0,0.4506889,0,0,-0.4806264,0,0,0.0006888956,0.0138468,-0.9118947,0
8.439997,0,0,0.4410625,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.459997,0,0,0.4314362,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.479997,0,0,0.4218098,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.499997,0,0,0.4121835,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.519997,0,0,0.4025571,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.539997,0,0,0.3929307,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.559997,0,0,0.3833044,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.579997,0,0,0.373678,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.599997,0,0,0.3640517,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.619997,0,0,0.3544253,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.639997,0,0,0.344799,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.659997,0,0,0.3351726,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.679996,0,0,0.3255462,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.699997,0,0,0.3159199,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.719996,0,0,0.3062935,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.739997,0,0,0.2966672,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.759997,0,0,0.2870408,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.779997,0,0,0.2774144,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.799997,0,0,0.2677881,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.819997,0,0,0.2581617,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.839997,0,0,0.2485353,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.859997,0,0,0.238909,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.879997,0,0,0.2292826,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.899997,0,0,0.2196562,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.919997,0,0,0.2100299,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.939997,0,0,0.2004035,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.959997,0,0,0.1907771,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.979997,0,0,0.1811507,0,0,-0.4813187,0,0,0,0,-0.9118947,0
8.999997,0,0,0.1715244,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.019997,0,0,0.161898,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.039997,0,0,0.1522716,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.059997,0,0,0.1426452,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.079997,0,0,0.1330189,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.099997,0,0,0.1233925,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.119997,0,0,0.1137661,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.139997,0,0,0.1041397,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.159997,0,0,0.09451337,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.179996,0,0,0.084887,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.199997,0,0,0.07526062,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.219996,0,0,0.06563425,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.239997,0,0,0.05600788,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.259996,0,0,0.04638151,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.279997,0,0,0.03675514,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.299996,0,0,0.02712877,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.319997,0,0,0.0175024,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.339996,0,0,0.00787603,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.359997,0,0,-0.001750341,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.379996,0,0,-0.01137671,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.399997,0,0,-0.02100308,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.419996,0,0,-0.03062945,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.439997,0,0,-0.04025582,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.459996,0,0,-0.04988219,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.479997,0,0,-0.05950856,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.499996,0,0,-0.06913494,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.519997,0,0,-0.07876131,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.539996,0,0,-0.08838768,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.559997,0,0,-0.09801406,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.579997,0,0,-0.1076404,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.599997,0,0,-0.1172668,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.619997,0,0,-0.1268932,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.639997,0,0,-0.1365196,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.659997,0,0,-0.1461459,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.679996,0,0,-0.1557723,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.699997,0,0,-0.1653987,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.719996,0,0,-0.175025,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.739997,0,0,-0.1846514,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.759996,0,0,-0.1942778,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.779997,0,0,-0.2039042,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.799996,0,0,-0.2135305,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.819997,0,0,-0.2231569,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.839996,0,0,-0.2327833,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.859997,0,0,-0.2424097,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.879996,0,0,-0.252036,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.899997,0,0,-0.2616624,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.919996,0,0,-0.2712888,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.939997,0,0,-0.2809151,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.959996,0,0,-0.2905415,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.979997,0,0,-0.3001678,0,0,-0.4813187,0,0,0,0,-0.9118947,0
9.999996,0,0,-0.3097942,0,0,-0.4813187,0,0,0,0,-0.9118947,0
10.02,0,0,-0.3194205,0,0,-0.4813187,0,0,0,0,-0.9118947,0
