t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
1.959999,0,0,-0.5746912,0,0,0.4038392,0.1246912,2.506293,0,0,-0.8,0
1.979999,0,0,-0.5641081,0,0,0.5291538,0.1141081,2.293573,0,0,-0.8,0
1.999999,0,0,-0.5512315,0,0,0.6438324,0.1012315,2.034753,0,0,-0.8,0
2.019999,0,0,-0.5363201,0,0,0.7455701,0.08632009,1.735034,0,0,-0.8,0
2.039999,0,0,-0.5196736,0,0,0.8323217,0.06967364,1.40044,0,0,-0.8,0
2.059999,0,0,-0.5016268,0,0,0.9023437,0.05162679,1.037698,0,0,-0.8,0
2.079999,0,0,-0.4825422,0,0,0.9542286,0.03254221,0.6540985,0,0,-0.8,0
2.099999,0,0,-0.4628035,0,0,0.9869335,0.01280354,0.2573512,0,0,-0.8,0
2.119999,0,0,-0.4428075,0,0,0.999801,0,0,0,0,-0.8,0
2.139999,0,0,-0.4228115,0,0,0.999801,0,0,0,0,-0.8,0
2.159999,0,0,-0.4028155,0,0,0.999801,0,0,0,0,-0.8,0
2.179999,0,0,-0.3828195,0,0,0.999801,0,0,0,0,-0.8,0
2.199999,0,0,-0.3628235,0,0,0.999801,0,0,0,0,-0.8,0
2.219999,0,0,-0.3428274,0,0,0.999801,0,0,0,0,-0.8,0
2.239999,0,0,-0.3228314,0,0,0.999801,0,0,0,0,-0.8,0
2.259999,0,0,-0.3028354,0,0,0.999801,0,0,0,0,-0.8,0
2.279999,0,0,-0.2828394,0,0,0.999801,0,0,0,0,-0.8,0
2.299999,0,0,-0.2628434,0,0,0.999801,0,0,0,0,-0.8,0
2.319999,0,0,-0.2428474,0,0,0.999801,0,0,0,0,-0.8,0
2.339999,0,0,-0.2228513,0,0,0.999801,0,0,0,0,-0.8,0
2.359999,0,0,-0.2028553,0,0,0.999801,0,0,0,0,-0.8,0
2.379999,0,0,-0.1828593,0,0,0.999801,0,0,0,0,-0.8,0
2.399999,0,0,-0.1628633,0,0,0.999801,0,0,0,0,-0.8,0
2.419999,0,0,-0.1428673,0,0,0.999801,0,0,0,0,-0.8,0
2.439999,0,0,-0.1228712,0,0,0.999801,0,0,0,0,-0.8,0
2.459999,0,0,-0.1028752,0,0,0.999801,0,0,0,0,-0.8,0
2.479999,0,0,-0.08287922,0,0,0.999801,0,0,0,0,-0.8,0
2.499999,0,0,-0.0628832,0,0,0.999801,0,0,0,0,-0.8,0
2.519999,0,0,-0.04288718,0,0,0.999801,0,0,0,0,-0.8,0
2.539999,0,0,-0.02289117,0,0,0.999801,0,0,0,0,-0.8,0
2.559999,0,0,-0.002895158,0,0,0.999801,0,0,0,0,-0.8,0
2.579999,0,0,0.01710086,0,0,0.999801,0,0,0,0,-0.8,0
2.599999,0,0,0.03709687,0,0,0.999801,0,0,0,0,-0.8,0
